CCAA,Risk_by_region_final
Andalucía,23.03182579564489
Aragón,11.87604690117253
Asturias,7.688442211055277
Baleares,1.9974874371859297
Canarias,3.4882747068676716
Cantabria,2.864321608040201
Castilla La Mancha,58.60552763819096
Castilla y León,56.633165829145725
Cataluña,100.0
Ceuta,0.046063651591289785
C. Valenciana,16.742043551088777
Extremadura,4.505862646566164
Galicia,11.503350083752094
Madrid,89.98324958123953
Melilla,0.09212730318257957
Murcia,2.21105527638191
Navarra,15.904522613065325
País Vasco,10.494137353433835
La Rioja,10.615577889447234
